sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,emotion
227,269.0995,596.2694,387.5448,0.026292,1.527688,577.2752,2639.582,Happy
228,246.9363,532.6849,353.0026,0.021546,1.6805,1747.821,3479.126,Happy
229,308.2914,519.8675,412.619,0.045526,1.83325,618.3487,2689.372,Happy
230,219.1827,596.3625,357.0324,0.040416,2.138813,365.6015,3043.956,Happy
231,135.2765,585.2759,372.1279,0.029546,1.6805,2316.844,3997.168,Happy
232,272.2401,599.3251,365.0022,0.024868,1.6805,974.7955,2459.053,Happy
233,252.4729,593.943,387.3201,0.026675,1.527688,1193.075,2518.91,Happy
234,291.057,593.8288,450.606,0.015659,1.451313,1266.924,1916.972,Happy
235,309.1232,579.5392,415.8958,0.052166,1.604063,410.7369,2577.229,Happy
236,297.1882,596.0836,377.6472,0.045266,1.599,902.0009,3147.432,Happy
237,244.3756,559.1705,349.12,0.050447,1.675063,2726.571,4243.398,Happy
238,145.4167,599.5789,344.139,0.017544,2.055813,1839.989,3240.552,Happy
239,257.6219,592.9497,398.8413,0.031529,1.522813,1813.229,3123.327,Happy
240,195.0248,551.2006,352.8288,0.012494,1.675063,2056.607,3554.125,Happy
241,220.4613,536.4329,315.0544,0.042597,1.598938,2983.309,4509.304,Happy
242,221.1106,592.6149,325.5169,0.026869,1.75125,2861.912,4323.589,Happy
243,303.9034,477.5112,383.8597,0.007224,1.522813,2873.869,3557.693,Happy
244,235.9992,572.5019,344.0965,0.03925,1.599,2503.356,3972.958,Happy
245,231.0998,574.5052,357.5431,0.133132,1.675063,1757.747,4111.087,Happy
246,303.052,590.7614,401.7551,0.100472,1.75125,1176.135,2934.66,Happy
247,289.541,584.7461,428.2098,0.115142,1.675125,1075.899,2712.155,Happy
248,306.7737,598.6213,392.6959,0.114606,1.75125,1387.024,2278.559,Happy
249,245.3705,584.6294,384.2879,0.066784,1.522813,1548.168,1694.695,Happy
250,230.0255,568.192,326.4646,0.110539,1.9035,2983.987,3857.165,Happy
251,131.5619,350.5276,176.2684,0.023398,2.116125,1541.717,3169.562,Sad
252,81.31026,168.5347,130.8838,0.021806,2.720688,2200.385,4901.947,Sad
253,104.2878,201.9139,163.8147,0.048415,1.267625,579.4848,1772.476,Sad
254,75.1549,182.5699,149.7138,0.050986,2.418375,173.4441,2417.863,Sad
255,93.22309,320.7328,167.7653,0.00895,1.662625,246.1492,2364.183,Sad
256,76.00949,224.8395,150.2015,0.00919,1.889375,2207.063,3934.483,Sad
257,140.6081,575.8741,274.6148,0.045271,2.116125,864.0291,3543.416,Sad
258,95.05767,138.2227,124.0246,0.076501,2.040563,999.9553,3336.29,Sad
259,125.6659,161.2078,141.3938,0.062571,2.342813,519.6044,3132.873,Sad
260,79.585,158.3361,127.0694,0.01033,1.738188,1130.677,3463.205,Sad
261,96.87791,165.6333,131.7639,0.01254,2.116063,275.4524,3374.1,Sad
262,101.2274,200.0485,122.654,0.03594,1.662688,261.4259,2226.306,Sad
263,113.1607,173.6531,140.8827,0.02067,2.26725,1700.261,2902.792,Sad
264,102.9089,216.1714,144.7483,0.028792,1.964938,229.7174,2333.151,Sad
265,102.2379,150.8702,128.5393,0.022973,2.286688,1051.866,2654.203,Sad
266,126.5204,169.78,150.4348,0.017421,2.191688,1731.166,4101.6,Sad
267,133.0145,165.6722,154.8888,0.016722,1.889375,2769.598,3426.819,Sad
268,75.59879,557.5691,170.8206,0.015532,1.81375,301.69,2621.914,Sad
269,76.70134,281.4658,183.431,0.025435,1.889375,452.5365,2850.056,Sad
270,163.4524,245.1528,198.7923,0.031314,2.210438,881.7524,3313.615,Sad
271,82.03565,263.2045,127.9468,0.031442,2.493938,1084.844,2728.489,Sad
272,91.97592,153.3731,131.5926,0.019723,1.964938,2238.302,N/A,Sad
273,98.83515,143.2662,123.8894,0.033147,2.0405,199.205,2257.526,Sad
274,77.8634,515.2196,142.4724,0.016362,2.26725,1306.507,3492.423,Sad
275,152.5973,180.2646,164.6418,0.030536,2.210438,688.9644,2999.324,Sad
276,81.41097,249.1459,160.1371,0.024153,2.5695,2333.212,4670.385,Sad
277,113.4778,206.136,155.136,0.024001,1.662625,225.235,2494.611,Sad
278,80.88645,184.2582,136.1729,0.016095,2.26725,1582.003,3225.16,Sad
279,147.3816,224.7742,187.5319,0.02793,1.889375,2071.834,4438.991,Sad
280,80.66984,241.6213,155.5664,0.019747,1.981813,292.8833,2868.426,Sad
281,120.2716,171.4636,142.1957,0.019403,1.766375,2463.927,4219.379,Sad
282,77.06639,503.291,165.5495,0.027997,1.919938,762.9567,3028.223,Sad
283,100.2175,167.4331,125.1416,0.021881,1.843188,919.0674,2222.617,Sad
284,119.3756,582.3307,149.2329,0.016277,1.99675,1768.637,3557.325,Sad
285,117.829,504.2487,172.6653,0.018805,1.843125,701.8001,2218.229,Sad
286,77.99441,571.1967,161.5481,0.011136,2.150375,804.062,2822.301,Sad
287,76.55536,237.9556,157.1675,0.011817,1.99675,1377.624,5204.105,Sad
288,75.28082,217.6435,113.5224,0.020485,1.919938,3590.528,4372.486,Sad
289,79.33513,505.1607,146.334,0.019353,1.843125,2151.882,4638.335,Sad
290,75.64082,250.6682,139.989,0.026345,2.091625,2026.407,3268.775,Sad
291,108.2012,594.0817,181.11,0.027489,2.457563,2901.994,3374.221,Sad
292,107.988,189.4719,127.415,0.017183,2.073563,1750.475,3620.306,Sad
293,75.41653,192.4286,133.3844,0.020694,2.303875,2328.133,N/A,Sad
294,75.03944,557.7123,151.4189,0.015167,1.843188,2369.805,5053.983,Sad
295,117.8509,155.0536,136.5562,0.040859,2.711313,2413.661,4247.98,Sad
296,82.01296,178.2489,138.6961,0.017827,2.559938,1768.853,4012.194,Sad
297,80.61945,172.563,124.8798,0.01464,2.559938,2472.838,4284.205,Sad
298,75.51086,163.2871,128.4642,0.016796,2.594,2584.104,4476.343,Sad
299,138.3536,211.7436,162.5593,0.027161,2.321,925.8606,2934.966,Sad
300,100.8349,177.7063,141.4275,0.019416,2.047938,2162.128,3708.278,Sad
301,136.4705,197.7857,185.7895,0.002206,1.196813,2833.374,4123.637,Sad
302,148.7634,252.0037,205.5034,0.005697,1.025688,1226.182,3486.477,Sad
303,174.9571,292.5183,238.2849,0.000788,1.139688,1032.112,2528.063,Sad
304,117.4025,230.5789,188.9716,0.000991,1.196625,1461.37,3457.904,Sad
305,147.4797,569.3696,238.3396,0.00148,0.79775,800.6231,4267.095,Sad
306,148.1942,283.0067,206.3807,0.001921,0.929563,1065.498,2958.696,Sad
307,176.2693,555.7693,254.0761,0.000588,1.367625,1306.772,2739.379,Sad
308,146.0662,189.3972,167.8355,0.000939,0.94025,487.424,2600.977,Sad
309,143.2024,209.6288,174.1739,0.003454,1.310625,2384.32,4714.899,Sad
310,117.5542,175.0169,154.5117,0.00028,1.139688,2973.555,4060.686,Sad
311,157.8353,230.3311,192.3595,0.001911,1.025688,892.0008,3411.206,Sad
312,153.6349,205.1698,167.8999,0.000585,0.94025,671.5196,3331.199,Sad
313,117.413,264.5395,183.0908,0.000508,1.324875,2660.581,4498.196,Sad
314,141.3898,194.0904,164.7572,0.000266,0.85475,2856.142,4164.66,Sad
315,145.5293,241.3535,188.0033,0.000821,0.8975,610.1601,3590.64,Sad
316,126.0468,188.755,152.0828,0.000829,1.239438,734.5173,2794.18,Sad
317,132.5501,196.7725,156.5665,0.0004,1.068438,682.4831,3485.135,Sad
318,150.0286,185.6655,165.4544,0.000356,1.068438,840.4443,2969.282,Sad
319,163.9945,209.0769,185.0448,0.000571,1.025688,674.4551,2775.332,Sad
320,143.1812,202.9864,171.5921,0.000148,0.94025,2614.581,4435.557,Sad
321,125.6891,202.11,150.7951,0.000651,0.982938,901.1552,2421.247,Sad
322,141.4935,190.6992,163.8163,0.000701,0.683813,335.2537,2619.016,Sad
323,137.2405,165.8935,148.3445,0.000569,1.196625,698.4236,3356.673,Sad
324,148.517,185.1983,155.7526,0.000421,1.324875,333.6559,2945.978,Sad
325,161.5658,196.8594,177.215,0.000662,1.068438,985.554,3644.074,Sad
326,122.2562,238.6347,192.2792,0.002286,0.982938,949.1549,3395.651,Sad
327,135.1012,184.5125,163.7453,0.000639,1.367625,297.4051,2791.299,Sad
328,120.3438,236.7871,194.2922,0.000974,1.367625,421.7693,3013.1,Sad
329,90.88562,239.531,177.303,0.000998,1.481563,639.9342,2629.741,Sad
330,163.8812,188.4723,176.5406,0.00103,1.153938,792.6128,2735.701,Sad
331,138.2109,191.5888,166.3932,0.000758,0.74075,1897.079,3628.175,Sad
332,145.0578,200.3104,176.2458,0.000686,1.068438,596.3264,3206.869,Sad
333,121.6284,166.7233,140.7402,0.000372,1.153938,720.9009,2458.772,Sad
334,155.2898,221.6655,194.7921,0.000895,0.94025,621.9076,3451.866,Sad
335,127.8052,162.4999,147.2547,0.00013,1.153875,2974.233,4142.055,Sad
336,127.9065,167.7816,137.8605,0.000399,1.253625,755.1713,2644.904,Sad
337,79.47335,179.0863,152.9709,0.000352,1.025688,467.2527,2958.53,Sad
338,111.6635,196.219,164.0342,0.00048,1.239375,626.4577,2631.188,Sad
339,167.3895,197.8109,185.212,0.002823,1.595563,647.1705,2790.119,Sad
340,183.0383,261.8378,213.7796,0.002385,1.367625,1363.771,3852.559,Sad
